id_salon,capacidad,es_virtual,caracteristicas
r_virtual,99999,True,"mesa,pc,deep_learning"
salon_1,40,False,"mesa,pc,deep_learning"
salon_2,40,False,"mesa,pc"
salon_3,40,False,"mesa,pc"
salon_4,40,False,"mesa,pc"
salon_5,40,False,"mesa,pc"
salon_6,40,False,"mesa,pc"
salon_7,40,False,"mesa,pc"
salon_8,40,False,"mesa,pc"
salon_9,40,False,"mesa,pc"
salon_10,40,False,"mesa,pc"
salon_11,40,False,"mesa,pc"
salon_12,40,False,"mesa,pc"
salon_13,40,False,"mesa,pc"
salon_14,40,False,"mesa,pc"
salon_15,40,False,"mesa,pc"
salon_16,40,False,"mesa,pc"
salon_17,40,False,"mesa,pc"
salon_18,40,False,"mesa,pc"
salon_19,40,False,"mesa,pc"
salon_20,40,False,"mesa,pc"
salon_21,40,False,"mesa,pc"
salon_22,40,False,"mesa,pc"
salon_23,40,False,"mesa,pc"
salon_24,40,False,"mesa,pc"
salon_25,40,False,"mesa,pc"
salon_26,40,False,"mesa,pc"
salon_27,40,False,"mesa,pc"
salon_28,40,False,"mesa,pc"
salon_29,40,False,"mesa,pc"
salon_30,40,False,"mesa,pc"
salon_31,40,False,"mesa,pc"
salon_32,40,False,"mesa,pc"
salon_33,40,False,"mesa,pc"
salon_34,40,False,"mesa,pc"
salon_35,40,False,"mesa,pc"
salon_36,40,False,"mesa,pc"
salon_37,40,False,"mesa,pc"
salon_38,40,False,"mesa,pc"
salon_39,40,False,"mesa,pc"
salon_40,40,False,"mesa,pc"
salon_41,40,False,"mesa,pc"
salon_42,40,False,"mesa,pc"
salon_43,40,False,"mesa,pc"
salon_44,40,False,"mesa,pc"
salon_45,40,False,"mesa,pc"
salon_46,40,False,"mesa,pc"
salon_47,40,False,"mesa,pc"
salon_48,40,False,"mesa,pc"
salon_49,40,False,"mesa,pc"
salon_50,40,False,"mesa,pc"
salon_51,40,False,"mesa,pc"
salon_52,40,False,"mesa,pc"
salon_53,40,False,"mesa,pc"
salon_54,40,False,"mesa,pc"
salon_55,40,False,"mesa,pc"
salon_56,40,False,"mesa,pc"
salon_57,40,False,"mesa,pc"
salon_58,40,False,"mesa,pc"
salon_59,40,False,"mesa,pc"
salon_60,40,False,"mesa,pc"
salon_61,40,False,mesa
salon_62,40,False,mesa
salon_63,40,False,mesa
salon_64,40,False,mesa
salon_65,40,False,mesa
salon_66,40,False,mesa
salon_67,40,False,mesa
salon_68,40,False,mesa
salon_69,40,False,mesa
salon_70,40,False,mesa
salon_71,40,False,mesa
salon_72,40,False,mesa
salon_73,40,False,mesa
salon_74,40,False,mesa
salon_75,40,False,mesa
salon_76,40,False,mesa
salon_77,40,False,mesa
salon_78,40,False,mesa
salon_79,40,False,mesa
salon_80,40,False,mesa
salon_81,40,False,mesa
salon_82,40,False,mesa
salon_83,40,False,mesa
salon_84,40,False,mesa
salon_85,40,False,mesa
salon_86,40,False,mesa
salon_87,40,False,mesa
salon_88,40,False,mesa
salon_89,40,False,mesa
salon_90,40,False,mesa
salon_91,40,False,mesa
salon_92,40,False,mesa
salon_93,40,False,mesa
salon_94,40,False,mesa
salon_95,40,False,mesa
salon_96,40,False,mesa
salon_97,40,False,mesa
salon_98,40,False,mesa
salon_99,40,False,mesa
salon_100,40,False,mesa
