,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado
7:00 - 8:00,Calculo_II (Calculo_II_B) - Prof_2 [salon_19] | Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_2],---,---,---,---,Calculo_II (Calculo_II_B) - Prof_2 [salon_3]
8:00 - 9:00,Calculo_II (Calculo_II_B) - Prof_2 [salon_19] | Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_2],---,IA_Aplicada (IA_Aplicada_A) - Prof_1 [salon_3],---,---,Calculo_II (Calculo_II_B) - Prof_2 [salon_3]
9:00 - 10:00,IA_Aplicada (IA_Aplicada_A) - Prof_1 [salon_3],Estr_Discretas (Estr_Discretas_A) - Prof_2 [salon_20],IA_Aplicada (IA_Aplicada_A) - Prof_1 [salon_3],---,---,Calculo_II (Calculo_II_B) - Prof_2 [salon_3]
10:00 - 11:00,IA_Aplicada (IA_Aplicada_A) - Prof_1 [salon_3],Estr_Discretas (Estr_Discretas_A) - Prof_2 [salon_20],IA_Aplicada (IA_Aplicada_A) - Prof_1 [salon_3],---,---,Fisica_Sistemas (Fisica_Sistemas_A) - Prof_3 [salon_1]
11:00 - 12:00,---,---,---,---,---,Fisica_Sistemas (Fisica_Sistemas_A) - Prof_3 [salon_1]
12:00 - 13:00,---,---,---,---,---,---
13:00 - 14:00,---,---,---,---,---,---
14:00 - 15:00,---,---,Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_2],---,IA_Aplicada (IA_Aplicada_A) - Prof_1 [salon_2],---
15:00 - 16:00,---,---,Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_2],---,IA_Aplicada (IA_Aplicada_A) - Prof_1 [salon_2],---
16:00 - 17:00,---,---,Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_2],---,---,---
17:00 - 18:00,---,Fisica_Sistemas (Fisica_Sistemas_A) - Prof_3 [salon_12],Sist_Organizacionales (Sist_Organizacionales_A) - Prof_4 [salon_11],---,Sist_Organizacionales (Sist_Organizacionales_A) - Prof_4 [salon_12],---
18:00 - 19:00,---,Fisica_Sistemas (Fisica_Sistemas_A) - Prof_3 [salon_12],Sist_Organizacionales (Sist_Organizacionales_A) - Prof_4 [salon_11],---,Sist_Organizacionales (Sist_Organizacionales_A) - Prof_4 [salon_12] | Estr_Discretas (Estr_Discretas_A) - Prof_2 [salon_15],---
19:00 - 20:00,---,Fisica_Sistemas (Fisica_Sistemas_A) - Prof_3 [salon_12],Sist_Organizacionales (Sist_Organizacionales_A) - Prof_4 [salon_11],---,Sist_Organizacionales (Sist_Organizacionales_A) - Prof_4 [salon_12] | Estr_Discretas (Estr_Discretas_A) - Prof_2 [salon_15],---
20:00 - 21:00,---,---,Calculo_II (Calculo_II_B) - Prof_2 [salon_19],---,Estr_Discretas (Estr_Discretas_A) - Prof_2 [salon_15] | Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_4],---
21:00 - 22:00,---,---,Calculo_II (Calculo_II_B) - Prof_2 [salon_19],---,Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_4],---
