,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado
7:00 - 8:00,IA_Aplicada (IA_Aplicada_B) - Prof_1 [salon_11] | Estr_Discretas (Estr_Discretas_A) - Prof_2 [salon_20],---,Fisica_Sistemas (Fisica_Sistemas_A) - Prof_3 [salon_4] | IA_Aplicada (IA_Aplicada_B) - Prof_1 [salon_11],---,---,Fisica_Sistemas (Fisica_Sistemas_A) - Prof_3 [salon_4] | Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_2]
8:00 - 9:00,IA_Aplicada (IA_Aplicada_B) - Prof_1 [salon_11] | Estr_Discretas (Estr_Discretas_A) - Prof_2 [salon_20],---,Fisica_Sistemas (Fisica_Sistemas_A) - Prof_3 [salon_4] | IA_Aplicada (IA_Aplicada_B) - Prof_1 [salon_11],---,---,Fisica_Sistemas (Fisica_Sistemas_A) - Prof_3 [salon_4] | Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_2]
9:00 - 10:00,Estr_Discretas (Estr_Discretas_A) - Prof_2 [salon_20] | Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_2],---,---,---,---,Fisica_Sistemas (Fisica_Sistemas_A) - Prof_3 [salon_4] | Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_2]
10:00 - 11:00,Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_2],---,---,---,---,---
11:00 - 12:00,---,---,---,---,---,Estr_Discretas (Estr_Discretas_A) - Prof_2 [salon_20]
12:00 - 13:00,---,---,---,---,---,Estr_Discretas (Estr_Discretas_A) - Prof_2 [salon_20]
13:00 - 14:00,---,---,---,---,---,---
14:00 - 15:00,---,---,---,---,---,---
15:00 - 16:00,---,---,Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_2],---,---,---
16:00 - 17:00,---,---,Calculo_II (Calculo_II_A) - Prof_2 [salon_6] | Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_2],---,IA_Aplicada (IA_Aplicada_B) - Prof_1 [salon_11],---
17:00 - 18:00,---,---,Calculo_II (Calculo_II_A) - Prof_2 [salon_6],---,IA_Aplicada (IA_Aplicada_B) - Prof_1 [salon_11] | Sist_Organizacionales (Sist_Organizacionales_A) - Prof_4 [salon_7],---
18:00 - 19:00,---,---,Calculo_II (Calculo_II_A) - Prof_2 [salon_6],---,IA_Aplicada (IA_Aplicada_B) - Prof_1 [salon_11] | Sist_Organizacionales (Sist_Organizacionales_A) - Prof_4 [salon_7],---
19:00 - 20:00,---,---,Sist_Organizacionales (Sist_Organizacionales_A) - Prof_4 [salon_7],---,Calculo_II (Calculo_II_A) - Prof_2 [salon_6] | Sist_Organizacionales (Sist_Organizacionales_A) - Prof_4 [salon_7],---
20:00 - 21:00,Calculo_II (Calculo_II_A) - Prof_2 [salon_6],---,Sist_Organizacionales (Sist_Organizacionales_A) - Prof_4 [salon_7],---,Calculo_II (Calculo_II_A) - Prof_2 [salon_6],---
21:00 - 22:00,Calculo_II (Calculo_II_A) - Prof_2 [salon_6],---,Sist_Organizacionales (Sist_Organizacionales_A) - Prof_4 [salon_7],---,Calculo_II (Calculo_II_A) - Prof_2 [salon_6],---
